lawfirm_id,client_id,client_name,proposal,revenue_min,revenue_max
200485,15143,cercle européen citoyennetés et identités,"Participation à diverses commissions parlementaires présidées par M. Younous OMARJEE : 
- collecte d'informations relatives au rapport d'audit de la Cour des comptes européenne afin d'élaborer, en lien avec les autorités de gestion, une modification de la législation européenne concernant l'eau et les incendies (projet de pétition en cours de finalisation devant le Parlement européen)",,10000
200485,15144,association a3 - aide aux aidants,Propositions en cours sur les questions de RGPD et de Cybersécurité,,10000
200485,15143,cercle européen citoyennetés et identités,"Participation à diverses commissions parlementaires présidées par M. Younous OMARJEE : 
- collecte d'informations relatives au rapport d'audit de la Cour des comptes européenne afin d'élaborer, en lien avec les autorités de gestion, une modification de la législation européenne concernant l'eau et les incendies (pétition en cours)",,10000
203040,8848,Artemisia Aisbl,"Intervention lors de conférences au Parlement Européen, notamment la « 10th GMO-Free-Europe Conference » organisée le 07 Septembre 2022, et la « Seed conference » du 28 novembre 2023. ». Rencontres avec plusieurs euro-députés concernant deux propositions législatives de la Commission européenne : un projet de Règlement relatif aux végétaux obtenus au moyen de certaines nouvelles techniques génomiques et les denrées alimentaires et aliments pour animaux qui en sont dérivés (COM(2023)411), et un projet de Règlement relatif à la production et la commercialisation des matériels de reproduction des végétaux dans l’Union (COM(2023)414).",50000.0,99999
203947,15150,common sense media,"Digital Services Act, AI Act",,10000
194049,15274,world shipping council,Commission review of EU consortia block exemption,300000.0,399999
205396,3734,EFPIA,Since the closure of the 2008 EU pharma sector inquiry EFPIA has set up a high level policy dialogue with DG Competition. The preparation of an annual meeting between EFPIA and DG Competition is carried out by Baker McKenzie (Fiona Carlin). Fiona also takes part in the meeting with DG Competition as part of the EFPIA delegation.,,10000
196748,3287,EREF,New Green Deal,200000.0,299999
206119,16358,polpharma pharmaceutical works s.a.,Pharmaceutical policy and access to generic medicines,10000.0,24999
206119,16359,zentiva pharma gmbh,Pharmaceutical policy and access to generic medicines,10000.0,24999
206119,16706,harbour investment gmbh,Sustainability and EU trade policy,100000.0,199999
206119,16357,neuraxpharm pharmaceuticals s.l.,Pharmaceutical policy and access to generic medicines,10000.0,24999
206119,14707,international olympic committee,"Monitoring regulatory developments in the field of intellectual property, broadcasting regulation and sports rights",100000.0,199999
206119,885,Mastercard,Research and advice concerning EU regulation.,10000.0,24999
206119,14706,european thermal paper association,Advice on decision-making process regarding trade issues,10000.0,24999
206119,16581,cohere,EU Artificial Intelligence Act,25000.0,49999
206119,17423,infosys limited,EU Artificial Intelligence Act,25000.0,49999
206119,16244,honeywell europe nv,EU Data Act,25000.0,49999
199213,15161,instituto mato-grossense da carne – imac,"Rechtspolitische Beratung des Instituto Mato-Grossense da Carne - IMAC und Assoc Bras Ind Export Carnes - ABIEC zur Verordnung (EU) 2023/1115, hierbei insbesondere im Hinblick auf Kooperationsabkommen und Risikoanalyse",10000.0,24999
199213,16265,abiec - associação brasileira das indústrias exportadoras de carnes,"Rechtspolitische Beratung des Instituto Mato-Grossense da Carne - IMAC und Assoc Bras Ind Export Carnes - ABIEC zur Verordnung (EU) 2023/1115, hierbei insbesondere im Hinblick auf Kooperationsabkommen und Risikoanalyse",,10000
206015,17389,european committee for interoperable system (ecis),Range of tech policies including the Data Act and Digital Markets Act (DMA),100000.0,199999
206015,15760,loan market association (lma),Non-performing loans,10000.0,24999
206015,1737,AFME (Association for Financial Markets in Europe),CRD6,10000.0,24999
206015,13557,Futures Industry Association (FIA),European Market Infrastructure Regulation (EMIR),10000.0,24999
206015,8394,INTERNATIONAL SWAPS AND DERIVATIVES ASSOCIATION (ISDA),European Market Infrastructure Regulation (EMIR),10000.0,24999
206015,7872,Spotify,Digital Markets Act (DMA),10000.0,24999
205179,3265,AbbVie,EU pharmaceutical policy and legislation,25000.0,49999
205179,14379,alliance for regenerative medicine,EU pharmaceutical policy and legislation,25000.0,49999
205179,16518,avery dennison materials europe bv,EU packaging legislation,25000.0,49999
205179,6237,Eli Lilly and Company,EU pharmaceutical policy and legislation,50000.0,99999
205179,7817,European Confederation of Pharmaceutical Entrepreneurs,EU pharmaceutical policy and legislation,10000.0,24999
205179,11207,MHP SE,EU trade policy,25000.0,49999
205179,17265,monster energy ltd.,"Notifications under Directive (EU) 2015/1535, EU food law",50000.0,99999
205179,17269,"openai opco, llc",Artificial Intelligence Act,10000.0,24999
205179,15395,pharmaceutical research and manufacturers of america (phrma),EU pharmaceutical policy and legislation,10000.0,24999
205179,16521,scm consulting limited,EU sanctions on Russia and support for Ukraine,100000.0,199999
205179,15807,takeda pharmaceuticals international ag,EU pharmaceutical policy and legislation,,10000
205179,3032,The Coca-Cola Company,EU food policy,100000.0,199999
205179,6239,Microsoft Corporation,"International trade, Artificial Intelligence Act, Regulation to prevent and combat child sexual abuse, AI Liability Directive, Digital Services Act, EU competition policy",300000.0,399999
205179,3603,Uber,"EU regulation relevant to ridehailing, stakeholder management",200000.0,299999
205179,7113,Workday,Data Act,,10000
205179,6003,European Chemical Industry Council,EU chemicals legislation,25000.0,49999
205179,1006,European Federation of Pharmaceutical Industries and Associations,European Heath Data Space,25000.0,49999
205179,15935,exxonmobil petroleum & chemical,Carbon Border Adjustment Mechanism (CBAM),10000.0,24999
205179,293,GSK,EU pharmaceutical policy and legislation,,10000
205179,8472,"Illumina, Inc.",EU competition policy / Acquisition of GRAIL,600000.0,699999
205179,15716,kerry group,EU food law,50000.0,99999
205729,11331,Asociación Española de Accionistas Minoritarios de Empresas Cotizadas,"Políticas de energía de la UE (Directiva 2003/96/CE)
",,10000
205729,17972,huawei technologies españa sl,Políticas y regulación de ciberseguridad,100000.0,199999
205729,17974,huawei technologies duesseldorf gmbh,Políticas y regulación de ciberseguridad,100000.0,199999
205729,7458,Consejo General del Notariado,Regulación de la figura del Notario en otros países europeos,200000.0,299999
205339,15076,shop-apotheke service b.v.,Vertrag über die Arbeitsweise der Europäischen Union E-Commerce Richtlinie,50000.0,99999
206200,16644,equinix (emea) holdings b.v.,Digital Policy,50000.0,99999
206200,17897,klk emmerich gmbh,EU Deforestation Regulation,25000.0,49999
206200,16056,gvs gift voucher shop dac,"Prevention of the use of the financial system for the purposes of money laundering or terrorist financing",25000.0,49999
206200,16891,currax pharmaceuticals llc,Public Health Policy,100000.0,199999
206200,16054,piramal enterprises limited,Regulation on fluorinated greenhouse gases,10000.0,24999
206200,16050,echostar corporation,Telecommunication legislation,10000.0,24999
206200,18019,"anthropic, pbc",Artificial Intelligence legislation,200000.0,299999
199380,16453,interessengemeinschaft deutscher kunsthandel,Action Plan to tackle Trafficking in Cultural Goods,25000.0,49999
204366,78,aucun,Non applicable,,10000
203794,15350,fraunhofer zur förderung der angewandten forschung e. v.,"DG Comp review of HBERs and Horizontal Guidelines
Review of Standards Regulation 1025/2012
Proposal in relation to compulsory licensing
Proposed regulation for the licensing of standard essential patents",100000.0,199999
203794,17884,fraunhofer-gesellschaft zur förderung der angewandten forschung e.v.,Intellectual Property - revised framework for compulsory licensing of patents,,10000
203794,17884,fraunhofer-gesellschaft zur förderung der angewandten forschung e.v.,Intellectual Property - new framework for standard essential patents,50000.0,99999
203794,17884,fraunhofer-gesellschaft zur förderung der angewandten forschung e.v.,Amendment to the Regulation (EU) No 1025/2012 European Standardisation,,10000
203794,17884,fraunhofer-gesellschaft zur förderung der angewandten forschung e.v.,IP Protection in Third Countries,,10000
199208,16881,bunge ltd.,Regulation (EU) 2015/2283 on novel foods,25000.0,49999
193945,14998,associazione nazionale industrie cinematografiche audiovisive e digitali,Digital Markets Act and Digital Services Act; Media and Audiovisual Action Plan (MAAP); Revision of the Geoblocking Regulation (Regulation (EU) 2018/302); Revision of AVMS Directive,10000.0,24999
199439,7637,"QVC, Inc.",Packaging and Packaging Waste Regulation; Right to Repair Directive; Ecodesign for Sustainable Products Regulation; Green Claims Directive; Waste Framework Directive; Empowering Consumers in the Green Transition; Regulation prohibiting products made with forced labour on the Union market; Late Payments Directive; Corporate Sustainability Due Diligence Directive; Review of the Payment Services Directive; Digital Strategy; General Data Protection Regulation (GDPR); Proposal for a Regulation on ePrivacy concerning the respect for private life and the protection of personal data in electronic communications (ePrivacy Regulation); European Data Strategy including Proposal for a Regulation on a Data Act; Artificial Intelligence (AI) Act; Digital Services Act (DSA); Digital Markets Act (DMA); Consumer Credit.,25000.0,49999
199439,6550,Association of Bermuda Insurers and Reinsurers (ABIR),"Solvency II especially implementation and equivalence, corporate taxation especially transparency and economic substance rules, sustainable and digital finance",25000.0,49999
199439,14445,global infrastructure investor association,"Investment in Infrastructure (primarily transport and energy), Fitfor55",25000.0,49999
199439,17216,experian plc,"AI Act, Review of Consumer Credit Directive",100000.0,199999
199439,17220,lloyd's insurance company sa,"Solvency II, Insurance Distribution Directive, Data Protection, AI, DORA, Network and Information Security Directive, product liability, collective redress, European Green Deal, Environmental Liability, recovery and resolution, Data Act, Cyber Security",,10000
199439,14450,"kroll bond rating agency, llc","Sustainable finance, ESG ratings",,10000
199439,16094,canada pension plan investment board (cpp investments),EU foreign subsidies,,10000
199439,14446,airbnb ireland uc,Digital Platform regulation,,10000
199439,14447,"futures industry association, inc. (fia)","All legislative and non-legislative initiatives on post-trade including developments of the level 2 framework under the revised  European market infrastructure regulation (EMIR 2.1 and 2.2), the future of CCPs equivalence and EU strategy to increase clearing in the EU.
Measures related to the Capital Markets Union (CMU) with a specific focus on the revision of the regulation and Directive on markets in financial instruments (MiFID/R), work related to reporting and supervisory data as well as future work on harmonising insolvency framework.
Regulatory developments of the EU Banking Union with focus on Basel 3 implementation into the EU through revision of the Capital Requirements Directive and Regulation. 
Developments related to digital and sustainable finance.
International relations in the field of financial services, especially with UK and U.S.
Energy issues in relation to commodity trading.",50000.0,99999
199439,17219,suzano s.a.,"Fit for 55 package including the Deforestation Regulation, CBAM, RED 3 as well as the EU Taxonomy Regulation.",25000.0,49999
199439,14452,principles for responsible investment (pri),"EU sustainable finance files including (amongst others): the EU Taxonomy (and extensions), SFDR, CSRD, CSDDD, ESG ratings and ESG elements in Solvency II, MIFID2, AIFM and UCITS, Shareholders Rights Directive. And Fit for 55 files including (amongst others), EU ETS, CBAM, RED, Regulation on forced labour.",10000.0,24999
199439,17217,"paypal limited, belgium branch (paypal)","Payments (e.g. Retail Payments Strategy, PSD2, EMD2), Digital finance (e.g. eID, MiCA, CCD), Financial crime (e.g. AML), Cybersecurity (e.g. DORA) and Tech & Digital markets (e.g. AI, DSA, DMA)",50000.0,99999
199439,16532,british columbia investment management corporation,EU foreign subsidies,,10000
199439,17552,public sector pension investment board,EU foreign subsidies,,10000
199439,17551,amadeus it group s.a.,"Revision of Delegated Regulation on EU-wide multimodal travel information service (MMTIS), EU Sustainable and Smart Mobility Strategy, Computerised Reservation Systems revision",100000.0,199999
199439,11272,National Retail Federation (NRF),"International data flows including the EU-U.S. Data Privacy Framework, Implementation of the General Data Protection Regulation (GDPR), Regulation on Privacy and Electronic Communications (ePrivacy), EU - U.S. trade relations, Data Act, AI Act",50000.0,99999
199439,15753,ecolog ltd.,"Emissions Trading System (ETS Directive), Certification Framework for Carbon Removals and Net-Zero Industry Act",50000.0,99999
199966,8352,European Hotel Forum,Online platform regulation,10000.0,24999
199720,9551,Match Group,digital markets act,100000.0,199999
199720,12975,Coalition for App Fairness,digital markets act,50000.0,99999
199720,5139,News Corporation,IA act,,10000
206602,16552,european energy a/ss,Environmental Policies,10000.0,24999
206120,8337,Invest Europe,• Alternative investment fund managers (AIFM) - Directive 2011/61/EU • European venture capital funds (EuVECA) - Regulation (EU) No 345/2013 • European long-term investment funds (ELTIFs) - Regulation (EU) 2015/760 • Financial conglomerates - Directive (2002/87/EC) • Banking prudential requirements - Directive 2013/36/EU • Banking prudential requirements - Regulation (EU) No 575/2013 • Markets in financial instruments (MiFID 2) - Directive 2014/65/EU • Markets in financial instruments (MiFIR) - Regulation (EU) No 600/2014 • Solvency II Directive - 2009/138/EC • Market abuse - Regulation (EU) 596/2014 &Directive 2014/57/EU • Derivatives (EMIR) - Regulation (EU) No 648/2012,50000.0,99999
206120,304,PGGM,"Pension issues: IORP directive, PEPP, Pension.... Financial regulation: EMIR, FTT, AIFMD, MiFID",10000.0,24999
206120,17283,the european steel association,Review of the Waste Shipment Regulation,10000.0,24999
206120,6851,Dassault Systèmes,Data Act,,10000
206120,17021,social vouchers international association,Payment Services Regulation and Payment Services Directive,25000.0,49999
206120,17396,delivery platforms europe,Platform Work Directive,25000.0,49999
206120,494,KKR,EU initiatives related to the green agenda and the digital agenda,,10000
206120,13178,United Group,"EU enlargement, telecommunications, media and competition law",,10000
206120,2008,KPMG,"EU policy developments regarding the future role of audit, corporate reporting, tax and corporate governance",50000.0,99999
206120,17282,association professionnelle autoroutes et ouvrages routiers a peage,Réseau transeuropéen des transports; politique des transports; sécurité routière; Financement des infrastructures; ITS,10000.0,24999
206120,17280,trainline sas,Rail reform; Digital Single Market; Multi-modal travel information consultation; PSI Directive/Open Data Directive; ITS Directive and Delegated Acts; Rail/multi-modal passenger rights; Competition Law Reform (VBER); EU Action Plan for Rail Multi-modal Digital Mobility Services (MDMS),100000.0,199999
206120,17235,crédit agricole s.a.,Retail Investment Strategy,25000.0,49999
206120,17048,prewave gmbh,EU initiatives related to the sustainability agenda,,10000
206120,16727,trade republic bank gmbh,Review of the Markets in Financial Instruments Regulation; Capital Markets Union Action Plan,50000.0,99999
206120,7847,Avril SCA,"RED, FQD, ILUC, Bioenergy policy, Decarbonisation of transport, Green Deal,....",50000.0,99999
199581,13213,UNIPOL GRUPPO,"Supporto nello svolgimneto delle attività procedurali in merito a diverse proposte legislative di interesse per il settore assicurativo (Revisione della Direttiva Solvency II, Insurance Recovery and Resolution Directive (IRRD), Insurance Distribution Directive (IDD).",100000.0,199999
196299,17293,bdzv - bundesverband digitalpublisher und zeitungsverleger e.v.,Artificial Intelligence (AI) Act,50000.0,99999
196299,17294,mvfp medienverband der freien presse e. v.,Artificial Intelligence (AI) Act,,10000
201177,16497,schweizerische bankiervereinigung (sbvg),"Implementation of Basel III, Implementation of OECD Pillar II, Sustainable Finance, Digital Finance, Anti-Money Laundering Package, Swiss-EU Relations",10000.0,24999
195878,17272,international fresh produce association,Draft EU Regulation on Packaging and Packaging Waste,50000.0,99999
201433,16240,black sea oil & gas sa,Letters in connection with Council Regulation (EU) 1854/2022 on an emergency intervention to address high energy prices.,,10000
204336,16805,consumer technology association,"AI Act, ESPR",50000.0,99999
204336,14779,chamber of commerce of the united states of america,"EU financial services policy, AI Act, IP/Patent package, Pharma package",200000.0,299999
204336,15860,fédération de la haute couture et de la mode,ESPR,50000.0,99999
204336,17892,camera nazionale della moda italiana (cnmi),ESPR,25000.0,49999
205607,8417,Amazon Europe Core SARL,Commission Implementing Regulation (EU) 2023/1441 of 10 July 2023 on detailed arrangements for the conduct of proceedings by the Commission pursuant to Regulation (EU) 2022/2560 of the European Parliament and of the Council on foreign subsidies distorting the internal market.,50000.0,99999
205607,12618,American Airlines Group,Assistance regarding the European Commission review of Regulation 80/2009 on a Code of Conduct for Computer Reservation Systems.,10000.0,24999
205607,6494,German Direct Marketing Association / Deutscher Dialogmarketing Verband e.V.,Various issues related to European data protection rules,10000.0,24999
202125,16510,otpp (ontario teachers' pension plan board),EU Foreign Subsidies Regulation,10000.0,24999
202125,5136,Digital Europe,EC draft US adequacy decision,50000.0,99999
201008,17687,latam,Decision (UE° 2021/1991 du Conseil du 7 juin 2021,100000.0,199999
201008,17689,sas ipes,Politique Regionale de l' UE - PO FEDER Guyane,25000.0,49999
201008,17690,guadepices,Decision (UE) 2021/1991 du Conseil du 07 juin 2021,,10000
201008,17691,ville des abymes,programme IST de la DG Reform,,10000
201008,17736,association mouvement outre mer,Art 349 TFUE et les propositions législatives qui en découlent,,10000
196504,14415,abertis group,"Eurovignette, EETS",50000.0,99999
207080,16384,asjubi40 - jubilación anticipada sin penalizar,"EU Directive 2000/78/EC
Regulation (EC) No 883/2004
Regulation (CE) 987/2009",300000.0,399999
207080,17593,sitcpla (sindicato independiente de tripulantes de cabina de pasajeros de líneas aéreas),Council Directive 79/7/EEC of 19 December 1978 on the progressive implementation of the principle of equal treatment for men and women in matters of social security Directive 2006/54/EC of the European Parliament and of the Council of 5 July 2006 on the implementation of the principle of equal opportunities and equal treatment of men and women in matters of employment and occupation,25000.0,49999
207080,16383,epas (empleados públicos en abuso),"EU Directiva 1999/70/CE
EU Directive 2000/78/CE",300000.0,399999
201792,15338,citadel securities,"Legislation, regulation and policies in the field of financial services and banking",50000.0,99999
201792,16548,fitch solutions inc,"Legislation, regulation and policies in the field of financial services and banking",25000.0,49999
204464,6625,European Industrial Fasteners Institute,TRADE MATTERS,,10000
204464,15059,aegis europe,Trade Defence Instruments,,10000
199854,7420,European Crop Care Association,Start date of data protection of necessary studies for the renewal of an authorisation of a plant protection product,10000.0,24999
199854,17327,isk bioscineces europe n.v.,Approvals of substances by Commission and authorisations/withdrawals of ppp by MS,10000.0,24999
199854,17649,agroshine limitada,EFSA: additional information submitted after the stop-the- clock deadline.,,10000
199854,17650,agria s.a.,Mutual recognition pf plant protection products,,10000
199854,17651,agro-care aisbl,Interpretation and implementation of Regulation 1107/2009,,10000
189719,15710,svenska taxiförbundet,"EU:s revidering av Körkortsdirektivet. EU-kommissionens förlängning av Sveriges skatteundantag för biobränsle, EU-kommissionens revidering av guidelines för tolkning av EU:s Kollektivtrafikförordning, EU:s nya regler för rapporteringsskyldighet för plattformsoperatörer (DAC7)",,10000
202767,17802,associação nacional dos distribuidores de insumos agrícolas e veterinários (andav),EUDR,10000.0,24999
204209,14460,ikea deutschland,Dienstleistungsrichtlinie,25000.0,49999
204209,6356,Decathlon,"Dienstleistungsrichtlinie",25000.0,49999
203608,15964,iqm,Quantum computing related policies (including Chips Act),100000.0,199999
203608,11652,Cdiscount,"Digital Services Act and Digital Markets Act
Payment Services
Data regulation",50000.0,99999
203608,10379,Criteo,"• Data protection, consumer law
• Online platforms’ regulation (including Digital Services Act and Digital Markets Act)
• EU Data Strategy and Artificial intelligence",50000.0,99999
203608,4788,Intuit,"AI, Payment Services; Data",100000.0,199999
203608,17864,board of cyber,Cybersecurity,,10000
203608,7126,VMware,European digital agenda,,10000
206140,15548,asociación nacional del taxi,"Commission communication on Urban Mobility framework
Urban mobility package
European Strategy for low-emission mobility
Commission Notice on well-functioning and sustainable local passenger transport-on-demand (taxis and PHV)
Maas4EU",10000.0,24999
206140,6068,CELSA GROUP,Sustainable Products Initiative; Construction Products Regulation Ecodesign for sustainable products regulation; Net-Zero Industry Act; Circular Economy Action Plan; Preparatory Study for Iron and Steel Products,10000.0,24999
198603,16873,polish association of tire recyclers (patr),"Energy efficiency, Renewable energy, Energy strategy, Energy security, Energy: Research and technology, Energy: Funding and financing, European industrial strategy, Entrepreneurship and small business, Circular economy, EU Climate strategy, EU Emission Trading System, EU funding for climate action, Regional policy, European Innovation Strategy (including Horizon Europe).",10000.0,24999
203150,14515,avery dennison corporation,"All EU legislative proposals, policies or initiatives of relevance to the existing and/or planned Avery Dennison product portfolio.",50000.0,99999
203150,12694,Smart Packaging Europe,"All EU legislative proposals, policies or initiatives of relevance to the EPS packaging industry sector operating in Europe.",200000.0,299999
203150,10230,Styrenics Circular Solutions (SCS),"All  EU legislative proposals, policies or initiatives of relevance to the PS industry sector operating in Europe.",200000.0,299999
203150,11526,European Manufacturers of Expanded Polystyrene (EUMEPS),"All  EU legislative proposals, policies or initiatives of relevance to the EPS packaging and construction industry sector.",100000.0,199999
203150,10039,Iseki Europe,"All EU legislative proposals, policies or initiatives of relevance to the existing and/or planned Iseki Europe product portfolio.",50000.0,99999
203150,12527,Olin,"All EU legislative proposals, policies or initiatives of relevance to the existing and/or planned Olin product portfolio.",50000.0,99999
203150,7925,Mars Inc.,"All EU legislative proposals, policies or initiatives of relevance to the existing and/or planned Mars product portfolio.",50000.0,99999
203150,10041,Children's Tumor Foundation (CTF),"All  EU legislative proposals, policies or initiatives of relevance to the mission of CTF in Europe.",100000.0,199999
200859,16838,humana,Waste shipment regulation,10000.0,24999
200859,16837,i-tech ab,EU chemicals regulation,,10000
200859,15740,pernod ricard sa,EU FIC Regulation,,10000
200859,15739,irish business & employers confederation,EU FIC Regulation,,10000
200859,15738,diageo ireland,EU FIC Regulation,,10000
200859,15737,heineken nv,EU FIC Regulation,,10000
200859,15620,governement of bermuda,EU Tax and Regulatory,,10000
200859,15736,t&r chemicals inc,EU Food Law,10000.0,24999
197481,16402,meta platforms ireland limited (and subsidiaries),EU legislation concerning digital markets and services.,25000.0,49999
