ID,name,url
921939492666-42,GATE AVOCATS,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=921939492666-42
157975547423-75,Geradin Partners Newco,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=157975547423-75
625676346274-87,"Gibson, Dunn & Crutcher LLP",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=625676346274-87
353804021418-79,Gide,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=353804021418-79
29709186366-95,Giulio Marini,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=29709186366-95
318995795172-31,"Greenberg Traurig, LLP Amsterdam branch",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=318995795172-31
730037652090-62,Grimaldi Studio Legale,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=730037652090-62
268537291579-53,Hausfeld Rechtsanwälte LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=268537291579-53
197212845612-40,Hirsbrunner,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=197212845612-40
162092429393-66,Hogan Lovells International LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=162092429393-66
986588949459-81,Ijdelea & Associates SPRL,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=986588949459-81
673667435536-39,K&L Gates GP - Brussels,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=673667435536-39
007427047315-01,KMLZ Rechtsanwalts GmbH,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=007427047315-01
817067819413-17,Latham & Watkins LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=817067819413-17
196089314145-44,Legale Genchi,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=196089314145-44
75449787878-94,Linklaters LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=75449787878-94
473499323397-72,Macchi di Cellere Gangemi,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=473499323397-72
218424248559-42,"Maravela, Popescu & Asociații SPRL",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=218424248559-42
345311518196-94,MARYSE COPPET,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=345311518196-94
878143516137-06,Mayer Brown Europe-Brussels LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=878143516137-06
434241894941-48,Mentula Attorneys Ltd,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=434241894941-48
876803350422-88,Navas Cusi SLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=876803350422-88
512149323507-33,Norton Rose Fulbright LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=512149323507-33
187290847654-32,O'Connor and Company European Lawyers,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=187290847654-32
071334293727-56,Ontier Italia S.r.l. STA,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=071334293727-56
047962991734-22,Pappas & Associates,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=047962991734-22
530178638245-88,PARADIGMES cabinet d'avocats,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=530178638245-88
001814832718-07,Parulski&Wspólnicy Szymon Parulski Wojciech Krok Doradcy Podatkowi s.c.,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=001814832718-07
735588348788-76,Pilarp Juridik,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=735588348788-76
734599793341-04,Pineda e Krahn Sociedade de Advogados,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=734599793341-04
514542017084-34,Rechtsanwälte Lenz und Johlen,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=514542017084-34
396136234634-60,SAGARDOY ABOGADOS,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=396136234634-60
472030121036-71,SAMMAN Cabinet d'avocats,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=472030121036-71
267055348015-72,"Silverback Smart Advocacy Services, SLU",https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=267055348015-72
620563552924-03,Slaughter and May,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=620563552924-03
729653952267-59,SMM Legal Maciak Mataczyński Czech sp.k.,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=729653952267-59
960644722878-55,Squire Patton Boggs LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=960644722878-55
596796520126-28,Steptoe LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=596796520126-28
645352191664-05,Studio Legale Danzi,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=645352191664-05
941612350168-88,White & Case LLP,https://transparency-register.europa.eu/searchregister-or-update/organisation-detail_en?id=941612350168-88
